Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
"Aer Lingus, Binter Canarias",DUB,TFN,7h 20m,1 stop,€199,15/12/2023,05/12/2023
Vueling,DUB,TFN,18h 10m,1 stop,€153,15/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,9h 45m,1 stop,€169,15/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€199,15/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 10m,2 stops,€205,15/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,10h 00m,1 stop,€199,15/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€333,15/12/2023,05/12/2023
Iberia,DUB,TFN,14h 25m,1 stop,€196,15/12/2023,05/12/2023
Iberia,DUB,TFN,15h 40m,1 stop,€196,15/12/2023,05/12/2023
British Airways,DUB,TFN,14h 25m,1 stop,€206,15/12/2023,05/12/2023
"Iberia, Air Europa",DUB,TFN,13h 00m,2 stops,€172,15/12/2023,05/12/2023
Iberia Express,DUB,TFN,14h 25m,1 stop,€193,15/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€218,15/12/2023,05/12/2023
"Iberia, Iberia Express",DUB,TFN,14h 25m,1 stop,€205,15/12/2023,05/12/2023
"Iberia Express, Air Europa",DUB,TFN,13h 55m,1 stop,€223,15/12/2023,05/12/2023
,,,,,,,05/12/2023
,,,,,,,05/12/2023
,,,,,,,05/12/2023
,,,,,,,05/12/2023
,,,,,,,05/12/2023
Vueling,IBZ,DUB,18h 40m,1 stop,€82,11/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€200,11/12/2023,05/12/2023
British Airways,IBZ,DUB,6h 20m,1 stop,€282,11/12/2023,05/12/2023
"Iberia, British Airways",IBZ,DUB,6h 20m,1 stop,€307,11/12/2023,05/12/2023
British Airways,IBZ,DUB,7h 45m,1 stop,€265,11/12/2023,05/12/2023
CitizenPlane,IBZ,DUB,18h 40m,1 stop,€98,11/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,7h 55m,2 stops,€209,11/12/2023,05/12/2023
British Airways,IBZ,DUB,7h 10m,1 stop,€297,11/12/2023,05/12/2023
Iberia,IBZ,DUB,5h 55m,1 stop,€372,11/12/2023,05/12/2023
"Iberia, Transavia",IBZ,DUB,9h 10m,2 stops,€193,11/12/2023,05/12/2023
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€285,11/12/2023,05/12/2023
British Airways,IBZ,DUB,8h 45m,1 stop,€265,11/12/2023,05/12/2023
"Iberia Express, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€391,11/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,18h 00m,1 stop,€123,11/12/2023,05/12/2023
British Airways,IBZ,DUB,8h 25m,1 stop,€282,11/12/2023,05/12/2023
Vueling,IBZ,DUB,7h 20m,1 stop,€68,12/12/2023,05/12/2023
Vueling,IBZ,DUB,13h 40m,1 stop,€57,12/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€109,12/12/2023,05/12/2023
"Iberia, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€166,12/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€175,12/12/2023,05/12/2023
Vueling,IBZ,DUB,15h 55m,1 stop,€57,12/12/2023,05/12/2023
British Airways,IBZ,DUB,6h 20m,1 stop,€238,12/12/2023,05/12/2023
Vueling,IBZ,DUB,18h 20m,1 stop,€57,12/12/2023,05/12/2023
CitizenPlane,IBZ,DUB,13h 40m,1 stop,€74,12/12/2023,05/12/2023
British Airways,IBZ,DUB,7h 45m,1 stop,€211,12/12/2023,05/12/2023
British Airways,IBZ,DUB,7h 20m,1 stop,€227,12/12/2023,05/12/2023
Vueling,IBZ,DUB,6h 45m,2 stops,€162,12/12/2023,05/12/2023
"Iberia, British Airways",IBZ,DUB,6h 20m,1 stop,€274,12/12/2023,05/12/2023
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€227,12/12/2023,05/12/2023
British Airways,IBZ,DUB,8h 45m,1 stop,€211,12/12/2023,05/12/2023
Iberia,IBZ,DUB,5h 50m,1 stop,€65,13/12/2023,05/12/2023
Vueling,IBZ,DUB,14h 05m,1 stop,€46,13/12/2023,05/12/2023
Iberia Express,IBZ,DUB,5h 50m,1 stop,€71,13/12/2023,05/12/2023
"Iberia, Iberia Express",IBZ,DUB,5h 50m,1 stop,€73,13/12/2023,05/12/2023
"Iberia Express, Iberia",IBZ,DUB,5h 50m,1 stop,€77,13/12/2023,05/12/2023
British Airways,IBZ,DUB,5h 50m,1 stop,€108,13/12/2023,05/12/2023
Vueling,IBZ,DUB,5h 50m,1 stop,€141,13/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€111,13/12/2023,05/12/2023
CitizenPlane,IBZ,DUB,14h 05m,1 stop,€60,13/12/2023,05/12/2023
Iberia,IBZ,DUB,13h 40m,1 stop,€69,13/12/2023,05/12/2023
British Airways,IBZ,DUB,6h 20m,1 stop,€269,13/12/2023,05/12/2023
"Iberia, British Airways",IBZ,DUB,7h 35m,2 stops,€130,13/12/2023,05/12/2023
Iberia Express,IBZ,DUB,13h 40m,1 stop,€64,13/12/2023,05/12/2023
British Airways,IBZ,DUB,7h 45m,1 stop,€211,13/12/2023,05/12/2023
"Iberia, Iberia Express",IBZ,DUB,13h 40m,1 stop,€67,13/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,5h 45m,1 stop,€91,14/12/2023,05/12/2023
Vueling,IBZ,DUB,24h 05m,1 stop,€58,14/12/2023,05/12/2023
British Airways,IBZ,DUB,5h 55m,1 stop,€124,14/12/2023,05/12/2023
Iberia,IBZ,DUB,5h 55m,1 stop,€97,14/12/2023,05/12/2023
"Iberia, Iberia Express",IBZ,DUB,5h 55m,1 stop,€93,14/12/2023,05/12/2023
"Air Europa, Aer Lingus",IBZ,DUB,8h 10m,1 stop,€76,14/12/2023,05/12/2023
"Vueling, Iberia Express",IBZ,DUB,5h 55m,1 stop,€98,14/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,8h 05m,1 stop,€69,14/12/2023,05/12/2023
"Vueling, Iberia",IBZ,DUB,5h 55m,1 stop,€103,14/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,9h 05m,1 stop,€69,14/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€117,14/12/2023,05/12/2023
Vueling,IBZ,DUB,5h 55m,1 stop,€156,14/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,9h 45m,1 stop,€102,14/12/2023,05/12/2023
Iberia,IBZ,DUB,10h 10m,1 stop,€116,14/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,8h 30m,2 stops,€136,14/12/2023,05/12/2023
"Iberia, British Airways",IBZ,DUB,7h 40m,2 stops,€167,14/12/2023,05/12/2023
Vueling,IBZ,DUB,8h 05m,1 stop,€53,15/12/2023,05/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€64,15/12/2023,05/12/2023
Vueling,IBZ,DUB,4h 50m,1 stop,€118,15/12/2023,05/12/2023
